participant, trial, stimulus, response, rt
12, 1, O, f, 0.504
12, 2, O, f, 0.11
12, 3, Q, NIL, NIL
12, 4, O, f, 0.385
12, 5, O, f, 0.11
12, 6, O, f, 0.11
12, 7, O, f, 0.11
12, 8, O, f, 0.11
12, 9, O, f, 0.385
12, 10, O, f, 0.11
12, 11, O, f, 0.11
12, 12, O, f, 0.387
12, 13, O, f, 0.11
12, 14, O, f, 0.11
12, 15, O, f, 0.11
12, 16, O, f, 0.388
12, 17, O, f, 0.387
12, 18, O, f, 0.383
12, 19, O, f, 0.11
12, 20, O, f, 0.11
12, 21, O, f, 0.389
12, 22, O, f, 0.11
12, 23, O, f, 0.386
12, 24, O, f, 0.11
12, 25, O, f, 0.11
12, 26, Q, NIL, NIL
12, 27, O, f, 0.383
12, 28, O, f, 0.386
12, 29, O, f, 0.11
12, 30, O, f, 0.11
12, 31, O, f, 0.386
12, 32, O, f, 0.11
12, 33, O, f, 0.387
12, 34, Q, f, 0.11
12, 35, O, f, 0.11
12, 36, Q, f, 0.11
12, 37, O, f, 0.11
12, 38, O, f, 0.11
12, 39, O, f, 0.385
12, 40, O, f, 0.11
12, 41, O, f, 0.11
12, 42, O, f, 0.11
12, 43, O, f, 0.391
12, 44, O, f, 0.11
12, 45, O, f, 0.11
12, 46, O, f, 0.11
12, 47, O, f, 0.11
12, 48, O, f, 0.11
12, 49, O, f, 0.388
12, 50, O, f, 0.387
12, 51, O, f, 0.11
12, 52, O, f, 0.11
12, 53, O, f, 0.11
12, 54, O, f, 0.11
12, 55, O, f, 0.386
12, 56, O, f, 0.384
12, 57, O, f, 0.392
12, 58, O, f, 0.11
12, 59, O, f, 0.384
12, 60, Q, f, 0.11
12, 61, O, f, 0.11
12, 62, O, f, 0.11
12, 63, O, f, 0.386
12, 64, O, f, 0.39
12, 65, O, f, 0.385
12, 66, O, f, 0.386
12, 67, O, f, 0.386
12, 68, O, f, 0.391
12, 69, O, f, 0.11
12, 70, O, f, 0.386
12, 71, O, f, 0.11
12, 72, O, f, 0.11
12, 73, O, f, 0.11
12, 74, O, f, 0.387
12, 75, O, f, 0.388
12, 76, O, f, 0.386
12, 77, O, f, 0.11
12, 78, O, f, 0.384
12, 79, O, f, 0.11
12, 80, O, f, 0.11
12, 81, Q, f, 0.11
12, 82, O, f, 0.11
12, 83, O, f, 0.11
12, 84, O, f, 0.384
12, 85, O, f, 0.11
12, 86, O, f, 0.385
12, 87, O, f, 0.11
12, 88, O, f, 0.388
12, 89, O, f, 0.11
12, 90, O, f, 0.386
12, 91, O, f, 0.386
12, 92, O, f, 0.386
12, 93, O, f, 0.384
12, 94, O, f, 0.11
12, 95, O, f, 0.384
12, 96, Q, f, 0.11
12, 97, Q, NIL, NIL
12, 98, Q, NIL, NIL
12, 99, O, f, 0.39
12, 100, O, f, 0.11
12, 101, O, f, 0.11
12, 102, O, f, 0.388
12, 103, O, f, 0.11
12, 104, O, f, 0.11
12, 105, O, f, 0.11
12, 106, O, f, 0.383
12, 107, O, f, 0.385
12, 108, O, f, 0.388
12, 109, O, f, 0.387
12, 110, O, f, 0.11
12, 111, O, f, 0.388
12, 112, Q, f, 0.11
12, 113, O, f, 0.11
12, 114, O, f, 0.11
12, 115, O, f, 0.11
12, 116, O, f, 0.388
12, 117, O, f, 0.11
12, 118, O, f, 0.11
12, 119, Q, f, 0.11
12, 120, O, f, 0.385
12, 121, Q, f, 0.11
12, 122, O, f, 0.11
12, 123, O, f, 0.11
12, 124, O, f, 0.386
12, 125, Q, f, 0.11
12, 126, O, f, 0.11
12, 127, O, f, 0.11
12, 128, Q, f, 0.11
12, 129, O, f, 0.11
12, 130, O, f, 0.387
12, 131, O, f, 0.384
12, 132, O, f, 0.11
12, 133, O, f, 0.11
12, 134, O, f, 0.11
12, 135, O, f, 0.387
12, 136, Q, NIL, NIL
12, 137, O, f, 0.384
12, 138, O, f, 0.387
12, 139, O, f, 0.11
12, 140, O, f, 0.385
12, 141, O, f, 0.11
12, 142, O, f, 0.392
12, 143, O, f, 0.11
12, 144, O, f, 0.385
12, 145, O, f, 0.385
12, 146, O, f, 0.11
12, 147, O, f, 0.382
12, 148, O, f, 0.11
12, 149, O, f, 0.385
12, 150, O, f, 0.384
12, 151, O, f, 0.384
12, 152, O, f, 0.384
12, 153, O, f, 0.11
12, 154, O, f, 0.385
12, 155, O, f, 0.384
12, 156, O, f, 0.388
12, 157, O, f, 0.11
12, 158, O, f, 0.11
12, 159, Q, f, 0.11
12, 160, Q, NIL, NIL
12, 161, O, f, 0.384
12, 162, O, f, 0.385
12, 163, O, f, 0.384
12, 164, Q, NIL, NIL
12, 165, O, f, 0.388
12, 166, Q, f, 0.11
12, 167, O, f, 0.11
12, 168, O, f, 0.11
12, 169, O, f, 0.11
12, 170, O, f, 0.384
12, 171, O, f, 0.11
12, 172, O, f, 0.11
12, 173, O, f, 0.11
12, 174, O, f, 0.11
12, 175, O, f, 0.11
12, 176, O, f, 0.11
12, 177, O, f, 0.386
12, 178, O, f, 0.11
12, 179, O, f, 0.383
12, 180, O, f, 0.11
12, 181, O, f, 0.383
12, 182, O, f, 0.11
12, 183, O, f, 0.11
12, 184, O, f, 0.387
12, 185, Q, NIL, NIL
12, 186, O, f, 0.386
12, 187, O, f, 0.11
12, 188, O, f, 0.11
